         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            82545730             24       20.85       26.06         500.40         625.44
            63950199             41       64.01       80.02        2624.41        3280.82
            78304135             88       68.73       85.91        6048.24        7560.08
            92947198             24       46.96       58.69        1127.04        1408.56
            93755884             93       70.30       87.88        6537.90        8172.84
            35456639             85       50.61       63.26        4301.85        5377.10
            32818333             28       16.86       21.08         472.08         590.24
            38826660             36       62.36       77.95        2244.96        2806.20
            14334832             23       15.17       18.96         348.91         436.08
            42775255             62       60.14       75.17        3728.68        4660.54
            16548726             51       51.77       64.72        2640.27        3300.72
            70761203             96        6.63        8.29         636.48         795.84
            24239940             23       72.96       91.20        1678.08        2097.60
            52445486             33       41.46       51.82        1368.18        1710.06
            11431388             36       33.51       41.89        1206.36        1508.04
            71612981             44       68.28       85.35        3004.32        3755.40
            16966192             49       72.38       90.47        3546.62        4433.03
            78277548             71       52.06       65.08        3696.26        4620.68
            54009862             29       58.55       73.19        1697.95        2122.51
            71774654             16       23.85       29.82         381.60         477.12
            37619824             41       59.56       74.45        2441.96        3052.45
            53561656             53       21.83       27.29        1156.99        1446.37
            40315450             58       74.21       92.76        4304.18        5380.08
            41026169             83        0.17        0.21          14.11          17.43
            77325647             33       21.66       27.08         714.78         893.64
            96071998             94       26.69       33.36        2508.86        3135.84
            91657141             94       35.08       43.86        3297.52        4122.84
            14080440             37       40.55       50.69        1500.35        1875.53
            31514961              3       10.46       13.08          31.38          39.24
            25110306              2        7.05        8.82          14.10          17.64
            44178510             87       79.25       99.06        6894.75        8618.22
            54173193             15       50.85       63.57         762.75         953.55
            24384504             92       50.55       63.19        4650.60        5813.48
            10387762             48       57.44       71.81        2757.12        3446.88
            16069873             94       61.21       76.51        5753.74        7191.94
            29684986             55       37.85       47.32        2081.75        2602.60
            88803785             79       32.45       40.56        2563.55        3204.24
            78520030              2       43.46       54.33          86.92         108.66
            45538770             82       15.72       19.65        1289.04        1611.30
            24848192             54        9.17       11.47         495.18         619.38
            85354386             63       76.66       95.83        4829.58        6037.29
            61986355             73       12.63       15.79         921.99        1152.67
            98003145             15       73.13       91.42        1096.95        1371.30
            89447172             63       60.12       75.15        3787.56        4734.45
            63834003             47       56.54       70.67        2657.38        3321.49
            53862543             45       74.91       93.64        3370.95        4213.80
            58346118             45       54.50       68.12        2452.50        3065.40
            20240312             97       59.23       74.04        5745.31        7181.88
            93129314             50       60.46       75.57        3023.00        3778.50
            17166574             72       26.72       33.40        1923.84        2404.80
            91339017             76       15.11       18.89        1148.36        1435.64
            28862522             99       25.78       32.22        2552.22        3189.78
            56640948             54       68.25       85.32        3685.50        4607.28
            50705570             19        5.65        7.06         107.35         134.14
            12486046             52       48.36       60.44        2514.72        3142.88
            37409845             91       68.12       85.15        6198.92        7748.65
            49610563             93       23.93       29.91        2225.49        2781.63
            34400035             94       53.04       66.30        4985.76        6232.20
            27732846             82        1.60        2.00         131.20         164.00
            55258429              9       15.09       18.86         135.81         169.74
            65307201             65        4.82        6.03         313.30         391.95
            42415118             90       74.82       93.52        6733.80        8416.80
            33736063              4       18.36       22.95          73.44          91.80
            36212676              3       20.53       25.66          61.59          76.98
            74306082             74       19.22       24.03        1422.28        1778.22
            79390295             48       36.52       45.65        1752.96        2191.20
            26015176             35       48.96       61.20        1713.60        2142.00
            19848437             17       65.60       82.00        1115.20        1394.00
            59836735             17       76.53       95.66        1301.01        1626.22
            14013699             29       14.09       17.62         408.61         510.98
            34943294             74       23.94       29.93        1771.56        2214.82
            47019254             32       64.00       80.00        2048.00        2560.00
            40577346             33       21.06       26.33         694.98         868.89
            26957020             64       34.16       42.70        2186.24        2732.80
            90719853             33       38.89       48.62        1283.37        1604.46
            65232302             33        9.95       12.43         328.35         410.19
            87630646             85       31.44       39.29        2672.40        3339.65
            59224155             62       44.75       55.94        2774.50        3468.28
            90458709              9        5.34        6.68          48.06          60.12
            11582327              9       54.54       68.18         490.86         613.62
            70207799             76        7.70        9.63         585.20         731.88
            30817595             38        6.04        7.55         229.52         286.90
            13947185             83       48.88       61.10        4057.04        5071.30
            57636533             54       79.97       99.96        4318.38        5397.84
            86901175             11       31.60       39.50         347.60         434.50
            75532210             82       14.35       17.93        1176.70        1470.26
            54308877             92       45.26       56.58        4163.92        5205.36
            40491813             32       57.25       71.56        1832.00        2289.92
            65865913             41       18.08       22.60         741.28         926.60
            72245432             60       61.27       76.59        3676.20        4595.40
            79697913             73       29.18       36.48        2130.14        2663.04
            38554795             76       62.70       78.37        4765.20        5956.12
            57612534             13       46.11       57.64         599.43         749.32
            89858464             99       60.80       76.01        6019.20        7524.99
            63256877             28       54.80       68.50        1534.40        1918.00
            98466254             32       52.96       66.20        1694.72        2118.40
            91221450             29       49.44       61.80        1433.76        1792.20
            41563725             22        2.85        3.56          62.70          78.32
            12796340             22       60.41       75.51        1329.02        1661.22
            42576976             19       56.10       70.13        1065.90        1332.47
            49942817             43       73.66       92.08        3167.38        3959.44
            65640452             29       37.49       46.86        1087.21        1358.94
            17777657             40       78.85       98.57        3154.00        3942.80
            95847491             78       57.15       71.43        4457.70        5571.54
            56235306             44       27.15       33.94        1194.60        1493.36
            80933871             38       16.47       20.59         625.86         782.42
            68427429             20       77.17       96.46        1543.40        1929.20
            83772032             26        2.70        3.38          70.20          87.88
            15404669             87       51.62       64.52        4490.94        5613.24
            19743649             70       33.42       41.77        2339.40        2923.90
            10305867              2       55.49       69.36         110.98         138.72
            81120460             86       58.70       73.38        5048.20        6310.68
            45203624             51       23.82       29.77        1214.82        1518.27
            54237526             57       56.73       70.92        3233.61        4042.44
            31832813             55       18.36       22.95        1009.80        1262.25
            64574293             39       48.14       60.17        1877.46        2346.63
            38581791             83       44.95       56.19        3730.85        4663.77
            75305817             51       46.21       57.76        2356.71        2945.76
            29761633             41       45.32       56.65        1858.12        2322.65
            94366031             47        4.91        6.13         230.77         288.11
            71306213             22       36.11       45.14         794.42         993.08
            49678097             98       56.36       70.44        5523.28        6903.12
            86302294             19       47.74       59.67         907.06        1133.73
            90527110              2       36.95       46.19          73.90          92.38
            64262607             56       24.90       31.13        1394.40        1743.28
            29502699             99       21.67       27.09        2145.33        2681.91
            61531862             93       65.19       81.49        6062.67        7578.57
            44845604             70       30.77       38.46        2153.90        2692.20
            13670609             99       15.57       19.46        1541.43        1926.54
            13472696             88       31.31       39.13        2755.28        3443.44
            84756453             18       32.00       39.99         576.00         719.82
            20893426             31       69.87       87.34        2165.97        2707.54
            38887009             34       39.49       49.37        1342.66        1678.58
            30077734             84       73.67       92.08        6188.28        7734.72
            43149108             38       72.49       90.62        2754.62        3443.56
            49299239             86       55.77       69.71        4796.22        5995.06
            16484024             44       48.67       60.84        2141.48        2676.96
            94755148             55       18.34       22.93        1008.70        1261.15
            28770637             87       17.71       22.14        1540.77        1926.18
            71011880             85        7.20        9.00         612.00         765.00
            27343120             84        8.76       10.94         735.84         918.96
            36676662             71        5.29        6.62         375.59         470.02
            40943575             79       35.20       44.01        2780.80        3476.79
            98828053             11       23.17       28.96         254.87         318.56
            98452924              1       37.00       46.25          37.00          46.25
            80920104             58       37.10       46.37        2151.80        2689.46
            16895708             30       67.22       84.03        2016.60        2520.90
            59316980             20       40.47       50.59         809.40        1011.80
            30910652             58       17.86       22.33        1035.88        1295.14
            88694565             32        6.81        8.52         217.92         272.64
            20315636             59       32.09       40.11        1893.31        2366.49
            97908887             63       44.93       56.16        2830.59        3538.08
            40751663             51       51.61       64.52        2632.11        3290.52
            47813072             58       13.76       17.20         798.08         997.60
            84924750             29       27.20       33.99         788.80         985.71
            84389022             96       23.97       29.96        2301.12        2876.16
            82182127             45       79.97       99.96        3598.65        4498.20
            45594526             68       10.40       13.00         707.20         884.00
            69716034             66       11.62       14.53         766.92         958.98
            73987599             50       24.28       30.36        1214.00        1518.00
            68923986             12       13.80       17.24         165.60         206.88
            95947188             45       16.33       20.41         734.85         918.45
            30541259             99       40.15       50.19        3974.85        4968.81
            67732025             39        6.68        8.35         260.52         325.65
            56063305              6       64.98       81.22         389.88         487.32
            79903356              9        8.77       10.96          78.93          98.64
            32443636              9       23.30       29.12         209.70         262.08
            40423023             93       33.05       41.31        3073.65        3841.83
            42286524             85       16.46       20.58        1399.10        1749.30
            34336220             77       32.33       40.41        2489.41        3111.57
            97151339             26       57.80       72.25        1502.80        1878.50
            29315087             78       26.78       33.48        2088.84        2611.44
            65181655             62       28.66       35.82        1776.92        2220.84
            67668393             69        1.57        1.97         108.33         135.93
            69930170             24       68.96       86.20        1655.04        2068.80
            53147095              4        9.26       11.58          37.04          46.32
            48312861              2       46.12       57.65          92.24         115.30
            67245181             88       51.04       63.80        4491.52        5614.40
            35511920             38       23.48       29.34         892.24        1114.92
            64930695             95       17.17       21.46        1631.15        2038.70
            45822192             94       14.03       17.54        1318.82        1648.76
            56977602             87        6.11        7.64         531.57         664.68
            73015248             64       14.33       17.91         917.12        1146.24
            21832129             25        9.65       12.06         241.25         301.50
            46408863             62        8.75       10.94         542.50         678.28
            40546796             80        0.12        0.15           9.60          12.00
            59430460             67       54.94       68.67        3680.98        4600.89
            22421269             29        1.85        2.31          53.65          66.99
            93014739             81       59.87       74.84        4849.47        6062.04
            93552665             99       37.96       47.45        3758.04        4697.55
            80779650             34       54.67       68.34        1858.78        2323.56
            22998819              9       40.68       50.84         366.12         457.56
            54151268             92       62.76       78.44        5773.92        7216.48
            90910588             21       24.48       30.60         514.08         642.60
            29327832             40        8.55       10.69         342.00         427.60
            29806781             32       59.05       73.81        1889.60        2361.92
            54917910             38       73.52       91.90        2793.76        3492.20
            20195470             49       53.25       66.56        2609.25        3261.44
            14064373             67       67.22       84.03        4503.74        5630.01
            82670494             96       68.24       85.30        6551.04        8188.80
            57502813             90        1.59        1.99         143.10         179.10
            27246354             79       69.37       86.72        5480.23        6850.88
            52749242             15       15.72       19.65         235.80         294.75
            58292203             59       67.14       83.93        3961.26        4951.87
            74753893             88       70.59       88.24        6211.92        7765.12
            63752541              9       52.77       65.97         474.93         593.73
            89381976             76       35.58       44.47        2704.08        3379.72
            50749976             79       10.41       13.02         822.39        1028.58
            10817503              6       74.06       92.58         444.36         555.48
            92786319             63       16.41       20.51        1033.83        1292.13
            31149364             49       32.33       40.41        1584.17        1980.09
            34978805             40       58.09       72.61        2323.60        2904.40
            10988739             30       12.79       15.99         383.70         479.70
            63923262             52       24.97       31.22        1298.44        1623.44
            85524446             87       73.01       91.26        6351.87        7939.62
            71079170             87       53.26       66.58        4633.62        5792.46
            39385540             31        9.75       12.18         302.25         377.58
            79573477              4       21.22       26.52          84.88         106.08
            88086681             39       30.61       38.26        1193.79        1492.14
            39555399             76        6.01        7.52         456.76         571.52
            76261797             28       63.70       79.63        1783.60        2229.64
            80412537             34       47.30       59.13        1608.20        2010.42
            73048436             25       79.19       98.99        1979.75        2474.75
            95840333             43       13.45       16.82         578.35         723.26
            37609141             81       77.82       97.27        6303.42        7878.87
            41937009             26       32.08       40.11         834.08        1042.86
            69394067             76       27.27       34.09        2072.52        2590.84
            45620350             49       39.37       49.21        1929.13        2411.29
            55497002             54       69.01       86.27        3726.54        4658.58
            50276670             36       21.53       26.91         775.08         968.76
            90937174             76        6.14        7.67         466.64         582.92
            64612911             34       60.71       75.89        2064.14        2580.26
            88991983             82        3.84        4.80         314.88         393.60
            96497019             55       54.59       68.24        3002.45        3753.20
            62566726             77       12.56       15.71         967.12        1209.67
            54130900             46       73.37       91.71        3375.02        4218.66
            46948962             37       68.47       85.58        2533.39        3166.46
            55831843             77       32.92       41.15        2534.84        3168.55
            47846893             88       45.25       56.56        3982.00        4977.28
            84062410             31       61.08       76.35        1893.48        2366.85
            13741637             97       33.39       41.74        3238.83        4048.78
            17413778             73       48.44       60.55        3536.12        4420.15
            58763615             27       22.60       28.25         610.20         762.75
            46750583             83       31.14       38.93        2584.62        3231.19
            11527877             35       66.90       83.63        2341.50        2927.05
            58510088             78       29.81       37.27        2325.18        2907.06
            36660338             16        7.53        9.41         120.48         150.56
            79696396              7        2.91        3.63          20.37          25.41
            20689979             83       63.56       79.45        5275.48        6594.35
            75582164             32       17.71       22.13         566.72         708.16
            87049774             22       63.60       79.50        1399.20        1749.00
            73761580             32       32.52       40.65        1040.64        1300.80
            71450272             93       57.50       71.87        5347.50        6683.91
            16488190             11       16.17       20.21         177.87         222.31
            72049450             21       62.70       78.38        1316.70        1645.98
            68059570             40       63.79       79.73        2551.60        3189.20
            29913034             56       57.66       72.07        3228.96        4035.92
            36448027             42       75.31       94.14        3163.02        3953.88
            50530049             68       22.54       28.17        1532.72        1915.56
            75719587             99       43.52       54.40        4308.48        5385.60
            93403898             61       74.66       93.32        4554.26        5692.52
            54087838             42       69.72       87.15        2928.24        3660.30
            70701158             81       67.86       84.83        5496.66        6871.23
            21307991             85        6.20        7.75         527.00         658.75
            76559006             31       65.07       81.34        2017.17        2521.54
            69112859             39       14.23       17.78         554.97         693.42
            78152510             35       49.91       62.39        1746.85        2183.65
            55585122              7       44.80       56.00         313.60         392.00
            15213470             17       46.63       58.29         792.71         990.93
            57371706             40       50.02       62.52        2000.80        2500.80
            50875300             78       64.36       80.45        5020.08        6275.10
            11144525             76       20.10       25.12        1527.60        1909.12
            22448350              2       21.44       26.80          42.88          53.60
            71784681             78       34.05       42.56        2655.90        3319.68
            87299952             52       35.85       44.81        1864.20        2330.12
            33064939              1       43.72       54.65          43.72          54.65
            99071937             82       74.03       92.54        6070.46        7588.28
            13332359             96       10.70       13.37        1027.20        1283.52
            73307735             41       25.38       31.72        1040.58        1300.52
            44281202             88        3.75        4.69         330.00         412.72
            66930087             29       12.72       15.90         368.88         461.10
            39043237             33       30.45       38.06        1004.85        1255.98
            85057020             84       11.13       13.92         934.92        1169.28
            29425953             60        7.01        8.76         420.60         525.60
            14543887             72       74.19       92.73        5341.68        6676.56
            87588307             40       29.30       36.63        1172.00        1465.20
            41097975             56       77.48       96.85        4338.88        5423.60
            24254079             13       14.81       18.51         192.53         240.63
            34923357             73       22.27       27.84        1625.71        2032.32
            94042621             26       58.92       73.65        1531.92        1914.90
            76599712              6       54.06       67.58         324.36         405.48
            27699138             21       54.69       68.37        1148.49        1435.77
            51192084             60       47.90       59.88        2874.00        3592.80
            32502351             95       26.11       32.63        2480.45        3099.85
            90703409             53       66.43       83.04        3520.79        4401.12
            71881080             95       19.03       23.78        1807.85        2259.10
            23578322             69       58.96       73.70        4068.24        5085.30
            29542702             89       37.76       47.19        3360.64        4199.91
            50582433             55       77.66       97.08        4271.30        5339.40
            65599836              4       71.05       88.81         284.20         355.24
            23233410             61       56.87       71.09        3469.07        4336.49
            74275892             48       36.73       45.91        1763.04        2203.68
            88676214             11       64.56       80.70         710.16         887.70
            74980276             70       63.00       78.75        4410.00        5512.50
            47351821             57       46.00       57.51        2622.00        3278.07
            27543188             57       76.16       95.21        4341.12        5426.97
            79112325             96       28.40       35.50        2726.40        3408.00
            48397656             13       42.90       53.63         557.70         697.19
            58039065             26       30.16       37.70         784.16         980.20
            53565085             44        0.67        0.83          29.48          36.52
            38338004             34       61.46       76.82        2089.64        2611.88
            87665290             34       12.86       16.08         437.24         546.72
            28716903             57       21.44       26.80        1222.08        1527.60
            79332296             33        8.61       10.76         284.13         355.08
            65673090             49       77.44       96.80        3794.56        4743.20
            74962221             26        7.22        9.03         187.72         234.78
            29505556             27       66.61       83.26        1798.47        2248.02
            17040239             85       42.18       52.73        3585.30        4482.05
            42648265             99       36.39       45.49        3602.61        4503.51
            24997152             63       77.48       96.86        4881.24        6102.18
            20886659             74       12.10       15.13         895.40        1119.62
            80479205             68       33.61       42.02        2285.48        2857.36
            12499106             38       35.13       43.91        1334.94        1668.58
            40758386             29       44.83       56.03        1300.07        1624.87
            41514983             94       22.81       28.51        2144.14        2679.94
            45191064             56       41.30       51.62        2312.80        2890.72
            77892269             32       28.70       35.87         918.40        1147.84
            78093386             99       27.95       34.93        2767.05        3458.07
            83530490             73       74.83       93.54        5462.59        6828.42
            73410279             58       70.73       88.41        4102.34        5127.78
            57685455             33       50.88       63.60        1679.04        2098.80
            40874936             62       42.83       53.54        2655.46        3319.48
            79615788              6       35.72       44.65         214.32         267.90
            25540932             30       61.89       77.36        1856.70        2320.80
            39515458             26       15.30       19.12         397.80         497.12
            85778777             11       18.97       23.71         208.67         260.81
            96262579             70       46.88       58.59        3281.60        4101.30
            29618001             59       64.63       80.79        3813.17        4766.61
            97839342             84       79.69       99.61        6693.96        8367.24
            40000035             49       38.60       48.25        1891.40        2364.25
            87006802             15       14.30       17.88         214.50         268.20
            97320380             78       51.12       63.90        3987.36        4984.20
            20039075             55       57.18       71.48        3144.90        3931.40
            58872575             88       23.26       29.08        2046.88        2559.04
            31791714             43       23.45       29.31        1008.35        1260.33
            44956801              3       46.37       57.96         139.11         173.88
            57482701             82       56.60       70.75        4641.20        5801.50
            89216472             94       19.96       24.95        1876.24        2345.30
            92333721             28       78.02       97.52        2184.56        2730.56
            22499398             71       73.57       91.96        5223.47        6529.16
            22893803              6       13.90       17.37          83.40         104.22
            92300562             81       15.36       19.19        1244.16        1554.39
            86509680              9       11.10       13.87          99.90         124.83
            50401381             18       43.57       54.46         784.26         980.28
            42712594              2       45.91       57.38          91.82         114.76
            16432311             72       66.28       82.85        4772.16        5965.20
            64344613              2       61.87       77.34         123.74         154.68
            94000517             15       75.93       94.91        1138.95        1423.65
            92536606              2       69.25       86.56         138.50         173.12
            80814821              8       68.09       85.11         544.72         680.88
            25985800             29       16.10       20.13         466.90         583.77
            48339962             33        8.92       11.15         294.36         367.95
            17339346             50       12.91       16.14         645.50         807.00
            94566881             90       23.41       29.26        2106.90        2633.40
            61185556             99       70.34       87.93        6963.66        8705.07
            40159320             86       62.29       77.86        5356.94        6695.96
            87604965             93       78.73       98.41        7321.89        9152.13
            93461818             62       26.55       33.18        1646.10        2057.16
            43857963             41       75.30       94.13        3087.30        3859.33
            70222229             22        9.86       12.32         216.92         271.04
            99221764             58       10.97       13.71         636.26         795.18
            12753262             76       19.89       24.87        1511.64        1890.12
            76399536             49       36.76       45.95        1801.24        2251.55
            51086385             27       50.52       63.15        1364.04        1705.05
            62723433             51       56.31       70.39        2871.81        3589.89
            25991091             35       10.84       13.55         379.40         474.25
            57985775             43        7.09        8.86         304.87         380.98
            80651807             72       67.13       83.91        4833.36        6041.52
            12009897              4       58.75       73.44         235.00         293.76
            99311045             60       62.82       78.52        3769.20        4711.20
            14831000             93       55.77       69.71        5186.61        6483.03
            77654145             87       15.53       19.41        1351.11        1688.67
            54009342             86       64.81       81.01        5573.66        6966.86
            75465462             75       60.08       75.10        4506.00        5632.50
            41644772             47       14.71       18.38         691.37         863.86
            56519727             92       64.12       80.15        5899.04        7373.80
            77898439             21        8.09       10.12         169.89         212.52
            53849428             52       43.42       54.27        2257.84        2822.04
            24898626             86       55.66       69.58        4786.76        5983.88
            12436393             96       79.05       98.81        7588.80        9485.76
            25323620             86       65.29       81.61        5614.94        7018.46
            25625712             40       65.85       82.31        2634.00        3292.40
            65757621             61       22.60       28.25        1378.60        1723.25
            60986993             62       39.39       49.24        2442.18        3052.88
            87063503             32       20.65       25.81         660.80         825.92
            40619296             12       48.07       60.09         576.84         721.08
            83733798             16       54.07       67.59         865.12        1081.44
            33510205             48       49.88       62.35        2394.24        2992.80
            41590248             80       59.02       73.77        4721.60        5901.60
            45744524             25       25.80       32.25         645.00         806.25
            43803565              3       11.29       14.11          33.87          42.33
            84435639             30        0.99        1.24          29.70          37.20
            20697390             45       32.66       40.82        1469.70        1836.90
            58129206             26       61.89       77.36        1609.14        2011.36
            61585109             49       34.74       43.43        1702.26        2128.07
            16661831             84       51.08       63.85        4290.72        5363.40
            54029001             63       31.47       39.34        1982.61        2478.42
            91471469             63       54.72       68.39        3447.36        4308.57
            12099454              1       55.79       69.74          55.79          69.74
            74134690             85       44.40       55.50        3774.00        4717.50
            94584327             54       40.77       50.97        2201.58        2752.38
            54207789             89       26.19       32.74        2330.91        2913.86
            99426614             70       74.12       92.66        5188.40        6486.20
            68460548             37       28.74       35.92        1063.38        1329.04
            38002913             13       41.71       52.14         542.23         677.82
            91617482             44       37.04       46.30        1629.76        2037.20
            68682711             60       75.38       94.22        4522.80        5653.20
            80212271             66       42.01       52.51        2772.66        3465.66
            95445932             42       54.44       68.05        2286.48        2858.10
            72186650             54       21.31       26.64        1150.74        1438.56
            28565744             11       63.05       78.81         693.55         866.91
            94348784             72       15.32       19.15        1103.04        1378.80
            94241665             17       58.69       73.36         997.73        1247.12
            99169611             77        2.22        2.77         170.94         213.29
            21578726             56       28.69       35.86        1606.64        2008.16
            71206209             47       30.42       38.02        1429.74        1786.94
            99377971             87        3.80        4.75         330.60         413.25
            64875509             78       16.38       20.47        1277.64        1596.66
            32027177             53       21.28       26.60        1127.84        1409.80
            21011078             22        7.94        9.92         174.68         218.24
            77020392             47       59.70       74.63        2805.90        3507.61
            90624968              2       24.76       30.96          49.52          61.92
            92261484             21       21.00       26.25         441.00         551.25
            95876370             73       29.72       37.15        2169.56        2711.95
            93137999             89        4.29        5.36         381.81         477.04
            67714361             17       29.04       36.29         493.68         616.93
            60648957             84       11.07       13.83         929.88        1161.72
            81686184             74       66.45       83.06        4917.30        6146.44
            83929162             26       12.69       15.86         329.94         412.36
            31113391             57       13.94       17.42         794.58         992.94
            76321467             92       67.72       84.64        6230.24        7786.88
            33562873             29       64.23       80.29        1862.67        2328.41
            19266346             94       62.62       78.27        5886.28        7357.38
            56383808             84       23.83       29.79        2001.72        2502.36
            86644890             71       26.10       32.62        1853.10        2316.02
            88003653              6       43.30       54.12         259.80         324.72
            37087588              4       43.51       54.39         174.04         217.56
            74399031             76       46.26       57.83        3515.76        4395.08
            22477030             91       19.49       24.36        1773.59        2216.76
            23087411             52       24.69       30.86        1283.88        1604.72
            61489331             84       61.80       77.25        5191.20        6489.00
            14374004             21       20.09       25.11         421.89         527.31
            29851223             83       26.72       33.40        2217.76        2772.20
            68146584             76       53.56       66.95        4070.56        5088.20
            21789783             93        0.56        0.70          52.08          65.10
            50200625             51        3.97        4.96         202.47         252.96
            78886343             32        0.16        0.20           5.12           6.40
            71447892             19       32.75       40.94         622.25         777.86
